ID,Material,Vision Description Target,Project Idea,Difficulty,Time to Complete,Instructions
706,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Boho Pocket Wall Organizer (Var.621),Intermediate,59 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid sturdy twig through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or keys and wallets."
707,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Handcrafted No-Sew Produce Bag (Var.840),Intermediate,43 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a highly expanding mesh."
708,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Aesthetic Pencil Shaving Texture Art (Var.622),Easy,15 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a abstract wave.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
709,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Eco-friendly Biodegradable Seed Starters (Var.777),Easy,22 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Spider Plant seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
710,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Aesthetic Pocket Wall Organizer (Var.581),Intermediate,41 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid wooden dowel through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or jewelry."
711,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Premium Paper Mache Decorative Bowl (Var.110),Intermediate,59 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it metallic copper."
712,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Premium Pencil Shaving Texture Art (Var.790),Easy,28 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a majestic peacock.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
713,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Handcrafted Pencil Shaving Texture Art (Var.578),Easy,22 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a butterfly.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
714,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Dynamic Pocket Wall Organizer (Var.690),Intermediate,59 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid wooden spoon through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or crafting tools."
715,CDs/DVDs,"cd, dvd, compact disc, shiny disc, optical disc, reflective circle",Rustic Iridescent Mosaic Coasters (Var.209),Intermediate,64 minutes,"1. Submerge the old CDs in boiling water for 3 minutes to soften the plastic.
2. Using heavy scissors, cut the softened disc into small, geometric mosaic tiles.
3. Take a blank wooden or cork coaster base and apply a thick layer of craft glue.
4. Arrange the shiny CD shards onto the coaster, leaving a small gap between each piece.
5. Once dry, fill the gaps with metallic gold paint filler and wipe the surface clean. Let it cure."
716,Cardboard Box,"thick cardboard, corrugated board, brown paper box, large cardboard sheets",Eco-friendly Cat Scratching Pad (Var.121),Intermediate,70 minutes,"1. Cut the thick cardboard box into long strips exactly 2-inches wide.
2. Take the first strip and roll it up as tightly as possible, securing the end with hot glue.
3. Take the next strip and continue rolling it around the first one, gluing as you go.
4. Continue winding outward until the circle is about 12 to 15 inches wide.
5. Generously sprinkle the top texture with catnip spray!"
717,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Chic Paper Mache Decorative Bowl (Var.417),Intermediate,57 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it forest green."
718,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Handcrafted Biodegradable Seed Starters (Var.567),Easy,19 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Fern seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
719,Cardboard Box,"thick cardboard, corrugated board, brown paper box, large cardboard sheets",Aesthetic Cat Scratching Pad (Var.816),Intermediate,59 minutes,"1. Cut the thick cardboard box into long strips exactly 2-inches wide.
2. Take the first strip and roll it up as tightly as possible, securing the end with hot glue.
3. Take the next strip and continue rolling it around the first one, gluing as you go.
4. Continue winding outward until the circle is about 12 to 15 inches wide.
5. Generously sprinkle the top texture with dried organic organic catnip!"
720,Wine Cork,"cork, wine cork, wooden stopper, cylinder corks, pile of corks",Boho Geometric Cork Board (Var.227),Intermediate,50 minutes,"1. Collect around 50-100 clean wine corks.
2. Find an old picture frame, remove the backing, and discard the glass pane entirely.
3. Arrange the corks tightly inside the frame to ensure they fit. Arrange them in a stylish random mosaic pattern.
4. Use industrial hot glue to individually secure each cork heavily to the hard backing board of the frame.
5. Hang permanently on the wall and use pushpins to attach important notes, shopping lists, and memories."
721,Wood Pallet,"wood, pallet, wooden planks, timber, slatted wood, rustic boards",Rustic Vertical Succulent Garden (Var.335),Advanced,121 minutes,"1. Inspect the heavy wood pallet for any loose nails and rigorously sand down all rough spots.
2. Staple durable burlap tightly to the back, bottom, and sides of the pallet to form a pocket.
3. Lay the pallet flat on the ground and pack it completely with high-quality potting soil.
4. Carefully plant Spider Plant tightly into the exposed front slats.
5. Leave flat on the ground for exactly 2 weeks to let roots establish securely, then gently stand it up vertically against a wall."
722,Plastic Bottle,"plastic, soda bottle, green bottle, large plastic container, rigid plastic",Bespoke Hanging Bird Feeder (Var.285),Easy,19 minutes,"1. Thoroughly clean and dry the plastic bottle.
2. Cut two small holes opposite each other near the bottom.
3. Push a wooden dowel through the holes to serve as a perch.
4. Cut a slightly larger hole directly above the perch so seeds can spill out.
5. Screw an eye hook into the plastic cap, fill with birdseed, and hang it outside on a branch."
723,Glass Jar,"glass, jar, candle holder, transparent jar, empty pasta sauce jar",Eco-friendly Rustic Tealight Holder (Var.749),Easy,21 minutes,"1. Remove any sticky labels from the glass jar using warm soapy water and a sponge.
2. Wrap colorful yarn tightly around the neck of the jar 3-4 times and tie a neat bow.
3. Optional: Hot glue small dried chamomile to the wrapping for an aesthetic touch.
4. Place a standard tealight or small pillar candle inside the jar."
724,CDs/DVDs,"cd, dvd, compact disc, shiny disc, optical disc, reflective circle",Chic Iridescent Mosaic Coasters (Var.820),Intermediate,47 minutes,"1. Submerge the old CDs in boiling water for 3 minutes to soften the plastic.
2. Using heavy scissors, cut the softened disc into small, geometric mosaic tiles.
3. Take a blank wooden or cork coaster base and apply a thick layer of craft glue.
4. Arrange the shiny CD shards onto the coaster, leaving a small gap between each piece.
5. Once dry, fill the gaps with black grout and wipe the surface clean. Let it cure."
